,Unnamed: 0,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
236,247,07,21,0.068683,0.124523088547589,-1.0,0.5,0.0,0.0,0.0,0.1,0.040482,0.0,0.642845,0.0,6.4
237,248,07,22,0.153134,0.8244744481837543,0.75,0.0,0.0,0.0,0.1538461538461538,1.0,0.106433,0.369157,0.362299,0.0,6.5
238,249,07,23,0.016319,0.4530356962814704,1.0,-0.25,0.0,0.0,0.3846153846153846,0.0,0.171621,0.191138,0.354616,0.0,6.2
239,250,07,24,0.033354,0.2686873685002779,0.4,-0.2,0.0,0.0,0.1538461538461538,0.1,0.065391,0.611437,0.442555,0.0,6.0
240,251,07,25,0.019623,0.4861585705242406,0.5,-0.75,0.0,0.0,0.0,0.0,0.167833,0.141717,0.629175,0.0,4.75
241,252,07,26,0.105956,0.5015761721654095,0.0,-1.25,0.0,0.0,0.1538461538461538,0.8,0.112795,0.0,0.645733,0.0,3.8
242,253,07,27,0.118091,0.4350619017697528,-0.4,-1.2,0.0,0.0,0.0769230769230769,0.0,0.123337,0.210721,0.501388,0.0,5.2
243,254,07,28,0.04727,0.365821300599834,-0.4,-1.0,0.0,0.0,0.0769230769230769,0.2,0.098128,0.153701,0.541536,0.0,7.0
244,255,07,29,0.003125,0.1142607133328761,0.75,0.25,0.0,0.0,0.0,0.0,0.187589,0.067539,0.52868,0.0,3.0
260,272,08,0,0.008942,0.5235449355498905,0.6,-0.4,0.0,0.0,0.0,0.3333333333333333,0.37971,0.0,0.86686,0.0,6.4
261,273,08,1,0.022231,0.1587518566365184,0.8,-0.4,0.0,0.0,0.0,0.0,0.522456,0.0,4.995444,0.0,7.2
262,274,08,2,0.042185,0.25181028930189,0.8,-0.2,0.0,0.0,1.0,0.0,1.173401,0.0,0.270859,0.0,6.8
263,275,08,3,0.046308,0.3605177771801693,1.0,-0.8,0.0,0.0,0.0,0.0,0.863932,0.0,0.098606,0.0,7.2
264,276,08,4,0.016898,0.133048203303439,1.0,-0.6,0.0,0.0,0.0,0.0833333333333333,0.607657,0.122707,2.023944,0.0,6.5
265,277,08,5,0.089501,0.3331230917953336,0.5,-0.25,0.088811,0.0,0.0,0.4166666666666667,0.227487,0.06181,0.492183,0.0,6.333333
266,278,08,6,0.087012,0.4549138674535557,0.5,0.0,0.0,0.0,0.0,0.5,0.863781,0.0,0.796038,0.0,6.25
267,279,08,7,0.01656,0.3547775003865321,0.5,-0.25,0.0,0.0,0.5,1.0,0.364753,0.0,0.495315,0.0,7.166667
268,280,08,8,0.024944,0.2183318447877517,1.0,-0.166667,0.0,0.0,0.0,0.1666666666666666,0.373796,0.054445,0.44987,0.0,6.8
269,281,08,9,0.078447,0.1428690500615886,0.6,0.0,0.0,0.0,0.0,0.0,0.649519,0.0,0.280699,0.0,7.6
270,282,08,10,0.078935,0.3060273730690797,1.2,0.0,0.0,0.0,0.0,0.0,0.273817,0.012082,0.736482,0.0,7.2
271,283,08,11,0.062354,0.3800140179262973,1.0,-1.0,0.0,0.0,0.0,0.0,0.469682,0.0444,0.782672,0.0,6.6
272,284,08,12,0.00829,0.1276490275511303,0.8,-0.4,0.0,0.0,0.0,0.0,0.29877,0.027488,2.597325,0.0,7.0
273,285,08,13,0.078768,0.5198248842785113,1.333333,0.0,0.0,0.0,0.0,0.0,0.267427,0.0,0.833414,0.0,7.5
274,286,08,14,0.031124,0.2318291434594734,1.25,0.25,0.0,0.0,1.0,0.0,1.298652,0.0,0.682313,0.0,7.4
275,287,08,15,0.128414,0.3179177239816252,1.2,0.2,0.0,0.0,0.0,0.0,0.365048,0.044316,0.548453,0.0,7.6
276,288,08,16,0.00728,0.2374164559364372,1.25,0.0,0.0,0.0,0.0,0.0,0.411122,0.008512,0.256142,0.0,7.0
277,289,08,17,0.102473,0.8137424439381871,1.0,0.0,0.0,0.0,0.5,0.5,0.281061,0.082934,0.535623,0.0,6.5
278,290,08,18,0.058148,0.4697898586061834,0.5,-0.25,0.0,0.0,0.0,0.0,0.42072,0.03633,0.613095,0.0,6.25
279,291,08,19,0.040366,0.4404634281991853,0.5,0.25,0.0,0.0,0.0,0.0,0.827966,0.0,0.736209,0.0,7.6
